BANK,DATE OF ISSUE,DATE RECEIVED,Date Reviewed,CONTRACT NO ,ADVISING REF ,LC NO,Country,Request for amendments Date,LC Clean date,ELITE PIC,,CSR PIC,,F/D ,FD NO,F/D Create Date,Client Name,LC Start Date,LC Expiry Date,Shipment Date
HSBC,24-May,31-May,2-Jun,13/1385,SGHSBC7E31202288,DCU1700513828,Sri Lanka,2-Jun,15-Jun,JENY,OK,NAVDEEP,OK,,202737,16-Jun,CONTRADE (PVT) LTD,24-May-17,21-Aug-17,31-Jul-17
HSBC,24-May,31-May,2-Jun,06/258,SGHSBC7E31201291,0154MLC00001018,India,N.A,2-Jun,THINHA,OK,VIPIN,OK,OK,202346,7-Jun,ALFA SOLVENTS PVT. LTD.,29-May-17,26-Jul-17,5-Jul-17
SCB,30-May,31-May,1-Jun,07/3886,957117611239,HBLIFX03731598,Nepal,2-Jun,8-Jun,THINHA,OK,SURYA,OK,,203149,27-Jun,Hisi Polythene & Plastics Pvt. Ltd.,30-May-17,21-Aug-17,31-Jul-17
SCB,30-May,31-May,1-Jun,01/8330,957117611060,001LM01171500022,India,N.A,1-Jun,THINHA,OK,SANJEEV,OK,OK,202160,5-Jun,AVH POLYCHEM PVT. LTD.,30-May-17,21-Jul-17,30-Jun-17
SCB,30-May,31-May,2-Jun,07/3888,957117610999,HBLIFX13731591,Nepal,2-Jun,7-Jun,THINHA,OK,SURYA,OK,,202327,7-Jun,PASHUPATI SYNPACKS INDUSTRIES PVT.,30-May-17,21-Aug-17,31-Jul-17
SCB,28-May,1-Jun,5-Jun,07/3885,957117612835,17DC01USD15408,Nepal,5-Jun,9-Jun,THINHA,OK,SURYA,OK,,202423,9-Jun,RATHI OVERSEAS PVT. LTD.,28-May-17,21-Aug-17,31-Jul-17
SCB,30-May,1-Jun,5-Jun,13/1400,957117612737,4615MDC170004721,India,N.A,5-Jun,THINHA,OK,NAVDEEP,OK,,202207,5-Jun,VANI INTERNATIONAL,30-May-17,11-Aug-17,21-Jul-17
HSBC,31-May,1-Jun,5-Jun,11/5535,SGHSBC7F01204366,BTD/M084815,Sri Lanka,N.A,5-Jun,THINHA,OK,NAVDEEP,OK,,202208,5-Jun,Trust Plastics (Pvt) Ltd.,31-May-17,30-Jul-17,9-Jul-17
SCB,29-May,2-Jun,5-Jun,03/0896,957117609965,038917FLCU0005,India,5-Jun,8-Jun,THINHA,OK,GAURAV,OK,,202419,9-Jun,K.K.POLYCOLOR ASIA LTD,29-May-17,22-Aug-17,31-Jul-17
HSBC,3-Jun,5-Jun,6-Jun,03/0913,SGSHBC7F05212195,0415017IM0000075,India,,7-Jun,THINHA,OK,GAURAV,OK,,202312,7-Jun,UNITED CHLORO PARAFFINS PVT.LTD.,3-Jun-17,19-Aug-17,29-Jul-17
HSBC,19-May,5-Jun,8-Jun,03/0894,,828-01-0015789,India,,8-Jun,THINHA,OK,GAURAV,OK,,202416,9-Jun,M/S. HIND POLYFABS PVT LTD,19-May-17,21-Jul-17,30-Jun-17
HSBC,5-Jun,6-Jun,7-Jun,11/5537,SGHSBC7F06214440,TF1715601008,Sri Lanka,7-Jun,28-Jun,JENY,OK,NAVDEEP,OK,,203429,28-Jun,ALMAR MULTI MOULDS PVT LTD.,5-Jun-17,5-Sep-17,14-Aug-17
SCB,2-Jun,7-Jun,8-Jun,06/231,957117614851,TX3IMLU171430001,India,8-Jun,15-Jun,THINHA,OK,SANJEEV,OK,,202834,16-Jun,ENKAY POLYMERS,2-Jun-17,21-Aug-17,30-Jul-17
SCB,7-Jun,7-Jun,8-Jun,08/10975,957117618571,0000181017010167,Bangladesh,14-Jun,15-Jun,THINHA,OK,ANURAG,OK,,202833,16-Jun,Mahmud Enterprise,7-Jun-17,29-Aug-17,8-Aug-17
SCB,6-Jun,7-Jun,8-Jun,13/1406,957117618054,TP6IMLU171560001,India,,23-Jun,THINHA,OK,NAVDEEP,OK,,203148,23-Jun,ANU INDUSTRIES,6-Jun-17,25-Aug-17,4-Aug-17
SCB,5-Jun,7-Jun,8-Jun,07/3889,957117618170,010LCIFU17-0045,Nepal,,8-Jun,THINHA,OK,SURYA,OK,,202653,16-Jun,Sona Polymers Industries,5-Jun-17,29-Aug-17,8-Aug-17
HSBC,6-Jun,7-Jun,8-Jun,03/0917,SGHSBC7F07217259,469LC01171540003,India,,8-Jun,THINHA,OK,GAURAV,OK,,202418,9-Jun,ZAP LOGISTICARE PVT LTD,6-Jun-17,29-Aug-17,8-Aug-17
HSBC,6-Jun,7-Jun,8-Jun,13/1403,SGHSBC7F07217590,1636FLC170161,India,9-Jun,21-Jun,THINHA,OK,NAVDEEP,OK,,203097,21-Jun,SAIDEEP FOAM PVT LTD,6-Jun-16,31-Aug-17,31-Jul-17
HSBC,29-May,7-Jun,8-Jun,13/1372,SGHSBC7F07217368,0097IMPLC0002817,India,8-Jun,15-Jun,JENY,OK,NAVDEEP,OK,,202893,19-Jun,SURYA PRODUCTS LIMITED,29-May-17,18-Aug-17,28-Jul-17
BTMU,6-Jun,7-Jun,6-Jul,08/10951,,086817020021,Bangladesh,6-Jul,15-Sep,JENY,OK,ANURAG,OK,,207603,19-Sep,HAMKO INDUSTRIES LIMITED,6-Jun-17,1-Nov-17,10-Oct-17
HSBC,6-Jun,8-Jun,9-Jun,11/5538,SGHSBC7F07218191,DB1003LC1705377,Sri Lanka,9-Jun,12-Jun,THINHA,OK,NAVDEEP,OK,,202563,13-Jun,Akhtari Trades (Pvt.) Ltd.,6-Jun-17,13-Aug-17,23-Jul-17
BTMU,6-Jun,8-Jun,9-Jun,08/10984,,086817020022,Bangladesh,,20-Jun,THINHA,OK,ANURAG,OK,,203050,20-Jun,DUBAI BANGLADESH BAG FACTORY,6-Jun-17,3-Sep-17,13-Aug-17
BTMU,6-Jun,8-Jun,9-Jun,08/10983,,086817020023,Bangladesh,14-Jun,20-Jun,JENY,OK,ANURAG,OK,,203091,21-Jun,DUBAI BANGLADESH BAG FACTORY,6-Jun-17,3-Sep-17,13-Aug-17
HSBC,6-Jun,8-Jun,19-Jun,05/2189,SGHSBC7F07218032,7018817IM0000057,India,19-Jun,5-Jul,THINHA,OK,GAURAV,OK,,203605,5-Jul,Kvn Impex Pvt.Ltd.,6-Jun-17,12-Aug-17,22-Jul-17
SCB,7-Jun,9-Jun,13-Jun,08/10954,957117618679,0000208617020016,Bangladesh,,13-Jun,THINHA,OK,ANURAG,OK,,202666,13-Jun,RAAJ ENTERPRISE,7-Jun-17,30-Nov-17,10-Nov-17
SCB,7-Jun,9-Jun,13-Jun,08/10953,957117618660,0000208617020017,Bangladesh,,15-Jun,THINHA,OK,ANURAG,OK,,202865,16-Jun,RAAJ ENTERPRISE,7-Jun-17,29-Aug-17,8-Aug-17
SCB,8-Jun,9-Jun,13-Jun,"08/10968
08/10969
08/10970",957117620791,0000167417020056,Bangladesh,,15-Jun,THINHA,OK,ANURAG,OK,,202872,16-Jun,FUSION ACCESSORIES (BD) LTD,8-Jun-17,29-Aug-17,8-Aug-17
HSBC,7-Jun,9-Jun,13-Jun,02/5580,SGHSBC7F08220477,0067FLC170005,India,,13-Jun,THINHA,OK,SANJEEV,OK,,202558,13-Jun,OHRI GLOBPPACK,7-Jun-17,29-Aug-17,8-Aug-17
HSBC,7-Jun,9-Jun,13-Jun,06/241,SSHSBC7F08220794,0004FLC170170,India,,15-Jun,THINHA,OK,VIPIN,OK,,202941,19-Jun,Overseas Polymers Pvt Ltd.,7-Jun-17,5-Aug-17,15-Jul-17
BTMU,8-Jun,9-Jun,13-Jun,"08/10993
08/10994
08/10995",,090617020025,Bangladesh,13-Jun,15-Jun,JENY,OK,ANURAG,OK,,202835,16-Jun,Allplast Bangladesh Ltd.,8-Jun-17,21-Oct-17,30-Sep-17
HSBC,,9-Jun,22-Jun,06/251,SGHSBCC7F08220099,0172FLC003917,India,,22-Jun,THINHA,OK,VIPIN,OK,,203367,27-Jun,LILA POLYMERS PVT LTD,6-Jun-17,21-Oct-17,30-Sep-17
HSBC,30-Jun,12-Jun,14-Jun,05/2189,SGHSBC7E31202351,4258FLC00023/17,India,15-Jun,22-Jun,THINHA,OK,GAURAV,OK,,203175,23-Jun,Kvn Impex Pvt.Ltd.,30-May-17,12-Aug-17,22-Jul-17
HSBC,6-Jun,12-Jun,14-Jun,03/0915,SGHSBC7F09222912,0505217IM0000174,India,14-Jun,15-Jun,THINHA,OK,GAURAV,OK,,202826,16-Jun,Surendra Commercial & Exim,6-Jun-17,21-Aug-17,31-Jul-17
HSBC,8-Jun,12-Jun,14-Jun,05/2196,SGHSBC7F09222689,2342FLC016317,India,,14-Jun,JENY ,OK,GAURAV,OK,,202866,16-Jun,Varssha Poly Products,8-Jun-17,29-Aug-17,8-Aug-17
HSBC,8-Jun,12-Jun,14-Jun,06/266,SGHSBC7F09222656,009517IML000028,India,14-Jun,30-Jun,JENY,OK,VIPIN,OK,,203443,30-Jun,Power Chemplast Pvt Ltd,8-Jun-17,3-Sep-17,13-Aug-17
SCB,8-Jun,12-Jun,14-Jun,02/5579,957117621308,0207MDC170005074,India,,14-Jun,JENY ,OK,SANJEEV,OK,,202830,16-Jun,SRI RAM POLYMERS,8-Jun-17,29-Aug-17,8-Aug-17
HSBC,6-Jun,12-Jun,15-Jun,"02/5576
02/5581",SGHSBC7F09222162,008417IML000047,India,15-Jun,19-Jun,JENY,OK,SANJEEV,OK,,202939,19-Jun,PRAYAG POLYTECH PVT.LTD.,6-Jun-17,29-Aug-17,8-Sep-17
SCB,9-Jun,12-Jun,14-Jun,11/5547,957117622085,LCSFCBU1700189,Sri Lanka,,14-Jun,JENY,OK,NAVDEEP,OK,,202825,16-Jun,Poly Creations ( PVT ) Ltd.,9-Jun-17,3-Sep-17,13-Aug-17
HSBC,7-Jun,13-Jun,15-Jun,11/0037,SGHSBV7F12224853,0042002170013391,Sri Lanka,16-Jun,22-Jun,JENY,OK,NAVDEEP,OK,,203121,22-Jun,H.H. Essa and Co.,7-Jun-17,15-Aug-17,25-Jul-17
HSBC,9-Jun,13-Jun,14-Jun,11/5564,SGHSBC7F12226472,DB1003LC1705556,Sri Lanka,,15-Jun,JENY ,OK,NAVDEEP,OK,,202868,16-Jun,MODERN PACK LANKA (PVT) LTD,9-Jun-17,5-Sep-17,15-Aug-17
HSBC,9-Jun,13-Jun,14-Jun,06/256,SGHSBC7F12226259,003LC01171600005,India,,22-Jun,JENY ,OK,VIPIN,OK,,203101,22-Jun,KAPOOR SALES CORPORATION (REGD.),9-Jun-17,8-Aug-17,18-Jul-17
HSBC,9-Jun,13-Jun,14-Jun,01/8333,SGHSBC7F12226802,OLC0017170004711,India,,14-Jun,JENY ,OK,SANJEEV,OK,,202831,16-Jun,ANIKET POLYMERS PRIVATE LIMITED,9-Jun-17,3-Sep-17,13-Aug-17
SCB,11-Jun,13-Jun,15-Jun,08/10967,957117623191,0000195017020027,Bangladesh,15-Jun,20-Jun,JENY ,OK,ANURAG,OK,,203058,20-Jun,Dipa Poly and Accessories,11-Jun-17,31-Aug-17,10-Aug-17
SCB,12-Jun,13-Jun,15-Jun,08/11025,957117623529,0000181017020012,Bangladesh,,15-Jun,JENY ,OK,ANURAG,OK,,202871,16-Jun,UNITY POLY INDUSTRIES LTD,12-Jun-17,2-Sep-17,12-Aug-17
HSBC,12-Jun,13-Jun,15-Jun,13/1414,SGHSBC7F13228484,4335MDC170005149,India,,19-Jun,JENY,OK,NAVDEEP,OK,,202940,19-Jun,NARENDRA FLEXIPACK CO. PVT. LTD.,12-Jun-17,2-Sep-17,12-Aug-17
HSBC,12-Jun,13-Jun,15-Jun,06/267,SGHSBC7F13228331,30930NI00004517,India,,20-Jun,JENY,OK,VIPIN,OK,,203049,20-Jun,AVON METERS PRIVATE LIMITED,12-Jun-17,3-Sep-17,13-Aug-17
HSBC,12-Jun,13-Jun,15-Jun,06/268,SGHSBC7F13228328,30930NI00004417,India,,20-Jun,JENY,OK,VIPIN,OK,,203027,20-Jun,AVON METERS PRIVATE LIMITED,12-Jun-17,3-Sep-17,13-Aug-17
HSBC,9-Jun,13-Jun,15-Jun,02/5587,SGHSBC7F12226190,006LC01171590006,India,15-Jun,28-Jun,JENY,OK,SANJEEV,OK,,203333,28-Jun,Anand Tradelink Pvt. Ltd.,9-Jun-17,28-Jul-17,7-Jul-17
HSBC,9-Jun,13-Jun,15-Jun,03/0918,SGHSBC7F12226161,469LC01171590001,India,15-Jun,20-Jun,JENY,OK,GAURAV,OK,,203029,20-Jun,ZAP LOGISTICARE PVT LTD,9-Jun-17,1-Sep-17,11-Aug-17
SCB,13-Jun,13-Jun,15-Jun,08/10947,957117624715 ,ILC0802170211132,Bangladesh,15-Jun,23-Jun,THINHA,OK,ANURAG,OK,,203366,27-Jun,POLYBAG MANUFACTURING CO. LTD.,13-Jun-17,31-Oct-17,10-Oct-17
HSBC,12-Jun,14-Jun,15-Jun,02/5584,SGHSBC7F13228218,003LC01171590012,India,,20-Jun,JENY,OK,SANJEEV,OK,,203028,20-Jun,Jagriti Plastics Ltd.,12-Jun-17,1-Sep-17,11-Aug-17
SCB,11-Jun,14-Jun,15-Jun,07/3898,957117624485,17DC01USD15477,Nepal,,15-Jun,JENY,OK,SURYA,OK,,202867,16-Jun,RATHI OVERSEAS PVT. LTD.,11-Jun-17,4-Sep-17,14-Aug-17
SCB,11-Jun,14-Jun,18-Jun,07/3903,957117624644,17ILC0480,Nepal,,20-Jun,JENY,OK,SURYA,OK,,203026,20-Jun,SHIV SHAKTI PACKAGING PVT. LTD.,11-Jun-17,5-Sep-17,15-Aug-17
SCB,8-Jun,14-Jun,16-Jun,13/1407,957117624582,17DC01USD15460,Nepal,,19-Jun,THINHA,OK,NAVDEEP,OK,,202932,19-Jun,Mars Polymer Product PVT LTD,8-Jun-17,1-Sep-17,11-Aug-17
BTMU,14-Jun,14-Jun,16-Jun,08/10950,,075117010460,Bangladesh,18-Jun,24-Aug,JENY,OK,ANURAG,,,206346,25-Aug,BENGAL PLASTIC LTD. UNIT-3,14-Jun-17,10-Oct-17,19-Sep-17
BTMU,13-Jun,14-Jun,16-Jun,08/11024,,043417020011,Bangladesh,19-Jun,27-Jun,JENY,OK,ANURAG,OK,,203368,27-Jun,NAHID PLASTIC (BD) LTD,13-Jun-17,10-Sep-17,20-Aug-17
SCB,11-Jun,14-Jun,16-Jun,07/3912,957117626410,0217IM0200148,Nepal,,20-Jun,JENY,OK,SURYA,OK,,203056,20-Jun,Anuj Impex,11-Jun-17,6-Sep-17,15-Aug-17
SCB,13-Jun,14-Jun,16-Jun,09/308,957117625457,001IFIN171640001,Bhutan,18-Jun,22-Jun,THINHA,OK,GAURAV,OK,,203176,23-Jun,Bhutan Polymers Co. Ltd.,13-Jun-17,30-Nov-17,11-Aug-17
SCB,13-Jun,14-Jun,16-Jun,08/11030,957117625876,012217210094,Bangladesh,,17-Jul,THINHA,OK,ANURAG,OK,,203895,17-Jul,EASTERN POLYMER LTD,13-Jun-17,23-Sep-17,2-Sep-17
HSBC,29-May,14-Jun,16-Jun,13/1396,SGHSBC7F13228830,007LC01171460004,India,,THINHA ,JENY,OK,NAVDEEP,OK,,202933,19-Jun,K-FLEX INDIA PVT.LTD,29-May-17,11-Aug-17,21-Jul-17
HSBC,12-Jun,14-Jun,16-Jun,11/5551,SGHSBC7F13229468,DB1003LC1705601,Sri Lanka,,23-Jun,THINHA,OK,NAVDEEP,OK,,203171,23-Jun,Akhtari Trades (Pvt.) Ltd.,12-Jun-17,4-Sep-17,14-Aug-17
SCB,12-Jun,13-Jun,14-Jun,13/1413,957117624001,019USD170402U,Nepal,,15-Jun,JENY,OK,NAVDEEP,OK,,202741,16-Jun,SHREE BINDWASINI PLASTIC UDYOG,12-Jun-17,2-Sep-17,12-Aug-17
HSBC,13-Jun,15-Jun,19-Jun,05/2192,SGHSBC7F14232138,OLC0008170004766,India,,22-Jun,JENY,OK,GAURAV,OK,,203102,22-Jun,Mangalam Pipes Private Limited Unit,13-Jun-17,3-Sep-17,13-Aug-17
HSBC,13-Jun,15-Jun,19-Jun,06/260,SGHSBC7F14232410,0174MDC170005224,India,,19-Jun,JENY,OK,VIPIN,OK,,202942,19-Jun,MG Polyplast Industries Pvt Ltd,13-Jun-17,3-Sep-17,13-Aug-17
HSBC,13-Jun,15-Jun,19-Jun,01/8343,SGHSBC7F14232102,IMLC/2017/520178,India,,20-Jun,JENY,OK,SANJEEV,OK,,202901,20-Jun,Technova Imaging System Pvt. Ltd.,13-Jun-17,3-Sep-17,13-Aug-17
HSBC,13-Jun,15-Jun,19-Jun,11/5544,SGHSBC7F14232081,DCU1702114020,Sri Lanka,,20-Jun,JENY,OK,,OK,,202902,20-Jun,LIBERTY GROUP (PVT) LTD,13-Jun-17,9-Sep-17,19-Aug-17
HSBC,13-Jun,15-Jun,19-Jun,11/5542,SGHSCB7F14231133,DCU1700614042,Sri Lanka,19-Jun,23-Jun,JENY,OK,NAVDEEP,OK,,203162,23-Jun,New Jeewa Inds. (Pvt) Ltd.,13-Jun-17,3-Sep-17,13-Aug-17
SCB,13-Jun,15-Jun,19-Jun,"01/8335
01/8351",957117625787,001LM01171640006,India,20-Jun,12-Jul,JENY,OK,SANJEEV,OK,,204057,13-Jul,AVH POLYCHEM PVT. LTD.,13-Jun-17,21-Aug-17,31-Jul-17
SCB,13-Jun,14-Jun,16-Jun,08/11031,957117625867,012217210095,Bangladesh,,17-Jul,THINHA,OK,ANURAG,OK,,203899,17-Jul,EASTERN POLYMER LTD,13-Jun-17,23-Sep-17,2-Sep-17
SCB,11-Jun,15-Jun,19-Jun,07/3913,957117626401,0217IM0200149,Nepal,19-Jun,25-Jul,JENY,OK,SURYA,OK,,204747,26-Jul,Pashupati Polypropylene Industries,11-Jun-17,6-Sep-17,15-Aug-17
SCB,11-Jun,15-Jun,19-Jun,07/3901,957117626394,0217IM0200150,Nepal,,25-Jul,JENY,OK,SURYA,OK,,204707,25-Jul,Laminar Pvt. Ltd.,11-Jun-17,5-Sep-17,15-Aug-17
SCB,12-Jun,15-Jun,19-Jun,07/3892,957117626857,003ILUF171630001,Nepal,,19-Jun,JENY,OK,SURYA,OK,,202930,19-Jun,JAGDISH PRASAD RATHI,12-Jun-17,5-Sep-17,14-Aug-17
SCB,13-Jun,15-Jun,19-Jun,11/5552,957117625395,027IMLCU17002497,Sri Lanka,20-Jun,22-Jun,JENY,OK,NAVDEEP,OK,,203195,22-Jun,Vouge Pack (Private) Limited,13-Jun-17,5-Sep-17,15-Aug-17
SCB,13-Jun,15-Jun,18-Jun,05/2201,957117625493,RMPIMLC16664,India,,20-Jun,THINHA,OK,GAURAV,OK,,203025,20-Jun,Mamparampil Polymers,13-Jun-17,5-Sep-17,15-Aug-17
SCB,14-Jun,15-Jun,19-Jun,07/3909,957117627302,NBL1780024U045,Nepal,,19-Jun,JENY,OK,SURYA,OK,,202929,19-Jun,PIYA POLYBAG INDUSTRIES,14-Jun-17,10-Sep-17,21-Aug-17
SCB,14-Jun,15-Jun,19-Jun,11/5554,957117627534,DCU1700114027,Sri Lanka,20-Jun,24-Aug,JENY,OK,NAVDEEP,OK,,206347,25-Aug,Innotech Polymers (PVT) LTD.,14-Jun-17,31-Oct-17,10-Oct-17
SCB,14-Jun,15-Jun,19-Jun,07/3893,957117627614,HBLIFX12731688,Nepal,,19-Jun,JENY,OK,SURYA,OK,,202892,19-Jun,LUMBINI POLYMERS,14-Jun-17,4-Sep-17,14-Aug-17
BTMU,14-Jun,16-Jun,20-Jun,"08/10959
08/10960
08/10961",,090617020026,Bangladesh,20-Jun,23-Jun,JENY,OK,ANURAG,OK,,203161,27-Jun,JALAL ACCESSORIES,14-Jun-17,29-Aug-17,8-Aug-17
SCB,14-Jun,16-Jun,20-Jun,07/3894,957117627972,HBLIFX12731687,Nepal,,20-Jun,JENY,OK,SURYA,OK,,202997,20-Jun,Shree Shyam Polymers,14-Jun-17,4-Sep-17,14-Aug-17
SCB,14-Jun,16-Jun,20-Jun,07/3899,957117627856,HBLIFX09731691,Nepal,23-Jun,28-Jun,JENY,OK,SURYA,OK,,203383,28-Jun,KRISHNA NEPAL TRADING PVT. LTD,14-Jun-17,4-Sep-17,14-Aug-17
SCB,14-Jun,16-Jun,20-Jun,05/2197,957117627847,123DC0028017,India,20-Jun,20-Jun,JENY,OK,GAURAV,OK,,203096,21-Jun,Devendran Plastic Private Ltd.,14-Jun-17,29-Aug-17,8-Aug-17
SCB,14-Jun,16-Jun,20-Jun,08/11029,957117627954,DPCDAK704651,Bangladesh,22-Jun,25-Jul,JENY,OK,ANURAG,OK,,204612,26-Jul,Akij Poly Fibre Industries Ltd.,14-Jun-17,10-Sep-17,20-Aug-17
SCB,15-Jun,16-Jun,20-Jun,11/5532,957117628347,LCUCBG17000775,Sri Lanka,20-Jun,23-Jun,JENY,OK,NAVDEEP,OK,,203160,27-Jun,KOREAN SPA PRINTING SOLUTIONS,15-Jun-17,21-Sep-17,31-Aug-17
SCB,14-Jun,16-Jun,20-Jun,11/5556,957117627865,LCUPET17000796,Sri Lanka,20-Jun,23-Jun,JENY,OK,NAVDEEP,OK,,203163,23-Jun,Zahra International Impex (Pvt) Ltd,14-Jun-17,12-Sep-17,22-Aug-17
SCB,13-Jun,16-Jun,20-Jun,07/3918,957117628016,010LCIFU170050,Nepal,27-Jun,28-Jul,JENY,OK,SURYA,OK,,204680,31-Jul,Sona Polymers Industries,13-Jun-17,9-Oct-17,19-Sep-17
HSBC,15-Jun,16-Jun,20-Jun,11/5568,SGHSBC7F15235291,TF1716501020,Sri Lanka,21-Jun,23-Jun,JENY,OK,NAVDEEP,OK,,204420,25-Jul,Rebco Packaging (PVT) Ltd.,15-Jun-17,5-Sep-17,15-Aug-17
HSBC,14-Jun,16-Jun,20-Jun,06/255,SGHSBC7F15235279,003LC01171640011,India,,28-Jun,JENY,OK,VIPIN,OK,,203331,28-Jun,KAPOOR SALES CORPORATION (REGD.),14-Jun-17,8-Aug-17,18-Jul-17
SCB,12-Jun,16-Jun,20-Jun,07/3907,957117629122,012USD73740721U,Nepal,20-Jun,27-Jun,jENY,OK,SURYA,OK,,203334,28-Jun,SIDHA SIDHI ENTERPRISES,12-Jun-17,5-Sep-17,15-Aug-17
SCB,13-Jun,16-Jun,20-Jun,07/3895,957117629168,17DC05USD07393,Nepal,,21-Jun,JENY,OK,SURYA,OK,,203061,21-Jun,TULIP POLYMER INDUSTRIES,13-Jun-17,4-Sep-17,14-Aug-17
SCB,15-Jun,16-Jun,20-Jun,07/3900,957117629346,HBLIFX09731707,Nepal,,21-Jun,JENY,OK,SURYA,OK,,203063,21-Jun,KRISHNA NEPAL TRADING PVT. LTD,15-Jun-17,4-Sep-17,14-Aug-17
HSBC,14-Jun,16-Jun,20-Jun,02/5582,SGHSBC7F16236451,0505717IM0000046,India,23-Jun,29-Jun,JENY,OK,SANJEEV,OK,,203395,29-Jun,Poddar Pigments Ltd.,14-Jun-17,5-Aug-17,15-Jul-17
HSBC,14-Jun,16-Jun,20-Jun,01/8361,SGHSBC7F16236482,0505417IM0000356,India,23-Jun,4-Jul,JENY,OK,SANJEEV,OK,,203542,5-Jul,AKSHAR IMPEX,14-Jun-17,8-Sep-17,18-Aug-17
HSBC,14-Jun,16-Jun,20-Jun,15/0082,SGHSBC7F16236460,0506317IM0000144,India,22-Jun,29-Jun,JENY,OK,SHEETAL,OK,,203394,29-Jun,Innovative Tyres & Tubes Ltd,14-Jun-17,16-Oct-17,17-Sep-17
SCB,15-Jun,19-Jun,21-Jun,11/5553,957117629514,MCBLCU1700294,Sri Lanka,,21-Jun,JENY,OK,NAVDEEP,OK,,203100,22-Jun,BURHANI POLY FILMS (PVT) LTD.,15-Jun-17,5-Sep-17,15-Aug-17
SCB,14-Jun,19-Jun,21-Jun,07/3910,957117629667,2217IM0200060,Nepal,,21-Jun,JENY,OK,SURYA,OK,,203099,22-Jun,Dev International,14-Jun-17,9-Dec-17,18-Nov-17
HSBC,14-Jun,19-Jun,21-Jun,11/5570,SGHSBC7F16237116,0042002170013827,Sri Lanka,,22-Jun,JENY,OK,NAVDEEP,OK,,203168,28-Jun,PHOENIX INDUSTRIES LTD.,14-Jun-17,8-Sep-17,18-Aug-17
HSBC,15-Jun,19-Jun,21-Jun,06/269,SGHSBC7F16237990,30930NI00004617,India,,28-Jun,JENY,OK,VIPIN,OK,,203428,28-Jun,AVON METERS PRIVATE LIMITED,15-Jun-17,3-Sep-17,13-Aug-17
SCB,13-Jun,19-Jun,21-Jun,07/3908,957117629462,003ILUF171640001,Nepal,,3-Jul,JENY,OK,SURYA,OK,,203591,5-Jul,ARBIND STORE,13-Jun-17,5-Sep-17,15-Aug-17
SCB,11-Jun,19-Jun,21-Jun,07/3897,957117629596,17DC01USD15476,Nepal,,3-Jul,JENY,OK,SURYA,OK,,203592,5-Jul,BAGMATI MOULDING INDUSTRIES PVT. LT,11-Jun-17,5-Sep-17,15-Aug-17
BTMU,17-Jun,19-Jun,21-Jun,03/0919,,0027817FLU000021,India,,22-Jun,JENY,OK,GAURAV,OK,,203169,28-Jun,PEKON ELECTRONICS LTD.,17-Jun-17,1-Sep-17,11-Aug-17
HSBC,16-Jun,19-Jun,21-Jun,11/5562,SGHSBC7F19239667,TF1716501031,Sri Lanka,23-Jun,24-Jul,JENY,OK,NAVDEEP,OK,,204443,25-Jul,M.I.S Polysacks (Pvt) Ltd.,16-Jun-17,5-Sep-17,14-Aug-17
SCB,16-Jun,19-Jun,21-Jun,07/3904,957117630156,LC1812637374,Nepal,,23-Jun,JENY,OK,SURYA,OK,,203158,27-Jun,Lotus Trade Channels,16-Jun-17,5-Sep-17,15-Aug-17
SCB,18-Jun,19-Jun,21-Jun,07/3905,957117630744,001LCIFU170359,Nepal,,23-Jun,JENY,OK,SURYA,OK,,203155,27-Jun,Sanghai Plastic Industries P. Ltd,18-Jun-17,5-Sep-17,15-Aug-17
SCB,16-Jun,19-Jun,21-Jun,02/5588,957117630281,RC0IMLU171640001,India,23-Jun,7-Jul,JENY,OK,SANJEEV,OK,,203661,7-Jul,RADHIKA INTERNATIONAL OPC PVT. LTD.,16-Jun-17,7-Sep-17,15-Aug-17
SCB,16-Jun,19-Jun,21-Jun,11/5543,957117630290,DB4077LC1705586,Sri Lanka,22-Jun,27-Jun,JENY,OK,NAVDEEP,OK,,203335,28-Jun,Rapid Creation Industries (PVT) LTD,16-Jun-17,5-Sep-17,15-Aug-17
HSBC,17-Jun,20-Jun,22-Jun,06/275,SGHSBC7F19241612,003LC01171680010,India,,28-Jun,JENY,OK,VIPIN,OK,,203330,28-Jun,HOUSE OF PLASTICS,17-Jun-17,11-Sep-17,21-Aug-17
HSBC,17-Jun,20-Jun,22-Jun,01/8358,SGHSBC7F19241617,B027LCMAHI147077,India,,28-Jun,JENY,OK,SANJEEV,OK,,203430,28-Jun,MAHIKA PACKAGING INDIA LTD.,17-Jun-17,8-Sep-17,18-Aug-17
HSBC,16-Jun,20-Jun,22-Jun,01/8334,SGHSBC7F19241240,001LM01171670002,India,28-Jun,29-Jun,JENY,OK,SANJEEV,OK,,203396,29-Jun,ASPIRE INCORPORATION,16-Jun-17,3-Sep-17,13-Aug-17
HSBC,15-Jun,20-Jun,22-Jun,05/2203,SGHSBC7F19240931,0009MLC00006818,India,,22-Jun,JENY,OK,GAURAV,OK,,203427,28-Jun,CHEMOLEUMS INDIA PVT LTD,15-Jun-17,5-Sep-17,15-Aug-17
SCB,17-Jun,20-Jun,22-Jun,01/8359,957117630913,OLC0017170004768,India,,28-Jun,JENY,OK,SANJEEV,OK,,203773,10-Jul,POLYFILL TECHNOLOGIES PVT.LTD.,17-Jun-17,11-Sep-17,21-Aug-17
