BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
SCB,25-May,09/306,220FLC00003017,Bhutan,THINHA,GAURAV
HSBC,16-May,11/5520,0042002170011623,Sri Lanka,THINHA,NAVDEEP
SCB,15-May,05/2183,0505617IM0075286,India,THINHA,GAURAV
SCB,18-May,07/3873,EB0370FOU00115,Nepal,THINHA,SURYA
SCB,22-May,07/3877,008ILUF171420001,Nepal,THINHA,SURYA
SCB,23-May,08/10943,296417020038,Bangladesh,THINHA,ANURAG
SCB,24-May,01/8327,529010751271,India,THINHA,SANJEEV
HSBC,24-May,01/8315,0505017IM0000431,India,THINHA,SANJEEV
HSBC,25-May,06/239,003LC01171450006,India,THINHA,VIPIN
HSBC,25-May,01/8313,0505017IM0000432,India,THINHA,SANJEEV
HSBC,25-May,01/8314,0505017IM0000433,India,THINHA,SANJEEV
SCB,25-May,07/3883,010LCIFU170040,Nepal,THINHA,SURYA 
HSBC,26-May,02/5575,0040FLC170024,India,THINHA,SANJEEV
SCB,26-May,09/0307,CPBDLC30,Bhutan,THINHA,GAURAV
SCB,26-May,07/3884,17ILC0416,Nepal,THINHA,SURYA
HSBC,26-May,13/1392,004LC01171440012,India,THINHA,NAVDEEP
HSBC,26-May,01/8328,OLC0017170004345,India,THINHA,SANJEEV
BTMU,26-May,03/0907,0027817FLU000019,India,THINHA,GAURAV
SCB,28-May,07/3887,17DC07USD09607,Nepal,THINHA,SURYA
SCB,28-May,07/3882,17ILC0418,Nepal,THINHA,SURYA
HSBC,25-May,01/8329,0505017IM0000434,India,THINHA,SANJEEV
HSBC,29-May,13/1395,4335MDC170004682,India,THINHA,NAVDEEP
HSBC,29-May,03/0909,0999817IM0039401,India,THINHA,GAURAV
HSBC,29-May,06/254,1165FLC170347,India,THINHA,VIPIN
SCB,29-May,05/2190,LC/114/3461807,India,THINHA,GAURAV
HSBC,30-May,11/5519,003IMLCU17001094,Sri Lanka,THINHA,NAVDEEP
SCB,23-May,08/10944,296417020040,Bangladesh,THINHA,ANURAG
HSBC,24-May,13/1385,DCU1700513828,Sri Lanka,JENY,NAVDEEP
HSBC,24-May,06/258,0154MLC00001018,India,THINHA,VIPIN
SCB,30-May,07/3886,HBLIFX03731598,Nepal,THINHA,SURYA
SCB,30-May,01/8330,001LM01171500022,India,THINHA,SANJEEV
SCB,30-May,07/3888,HBLIFX13731591,Nepal,THINHA,SURYA
SCB,28-May,07/3885,17DC01USD15408,Nepal,THINHA,SURYA
SCB,30-May,13/1400,4615MDC170004721,India,THINHA,NAVDEEP
HSBC,31-May,11/5535,BTD/M084815,Sri Lanka,THINHA,NAVDEEP
HSBC,31-May,11/5539,493011711354,Sri Lanka,THINHA,NAVDEEP
SCB,29-May,03/0896,038917FLCU0005,India,THINHA,GAURAV
HSBC,3-Jun,03/0913,0415017IM0000075,India,THINHA,GAURAV
HSBC,19-May,03/0894,828-01-0015789,India,THINHA,GAURAV
HSBC,5-Jun,11/5537,TF1715601008,Sri Lanka,JENY,NAVDEEP
SCB,5-Jun,08/10936,411010644727,Bangladesh,JENY,ANURAG
SCB,5-Jun,08/10964,167417010084,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10949,100517020088,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10948,100517020087,Bangladesh,THINHA,ANURAG
SCB,2-Jun,06/231,TX3IMLU171430001,India,THINHA,SANJEEV
SCB,6-Jun,13/1404,9917IMO0200118,Nepal,THINHA,NAVDEEP
SCB,7-Jun,08/10975,0000181017010167,Bangladesh,THINHA,ANURAG
SCB,6-Jun,13/1406,TP6IMLU171560001,India,THINHA,NAVDEEP
SCB,5-Jun,07/3889,010LCIFU17-0045,Nepal,THINHA,SURYA
HSBC,6-Jun,03/0917,469LC01171540003,India,THINHA,GAURAV
HSBC,6-Jun,13/1403,1636FLC170161,India,THINHA,NAVDEEP
HSBC,29-May,13/1372,0097IMPLC0002817,India,JENY,NAVDEEP
SCB,7-Jun,08/10996,222017010295,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10978,174117010392,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10965,188517020008,Bangladesh,THINHA,ANURAG
HSBC,6-Jun,11/5538,DB1003LC1705377,Sri Lanka,THINHA,NAVDEEP
BTMU,6-Jun,08/10984,86817020022,Bangladesh,THINHA,ANURAG
BTMU,6-Jun,08/10983,86817020023,Bangladesh,JENY,ANURAG
HSBC,6-Jun,05/2189,7018817IM0000057,India,THINHA,GAURAV
BTMU,8-Jun,08/11007,154217020044,Bangladesh,JENY,ANURAG
BTMU,7-Jun,08/11013,154217020045,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11014,154217020046,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11009,154217020047,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11008,154217020048,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11018,154217020049,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11019,154217020050,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11020,154217020051,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11022,154217020052,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10954,0000208617020016,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10953,0000208617020017,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10997,222017010296,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10996,222017010295,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10979,174117010393,Bangladesh,THINHA,ANURAG
SCB,7-Jun,07/3881,HBKIFX01731649,Nepal,THINHA,SURYA
